name,partition,description,value,voices
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Viola di gamba",,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"5 f.",NULL
Cornett,,,"3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
Salicional,,,8',NULL
Traversflöte,,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Viola di gamba",,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"5 f.",NULL
Cornett,,,"3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
Salicional,,,8',NULL
Traversflöte,,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Viola di gamba",,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"5 f.",NULL
Cornett,,,"3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
Salicional,,,8',NULL
Traversflöte,,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Viola di gamba",,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"5 f.",NULL
Cornett,,,"3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
Salicional,,,8',NULL
Traversflöte,,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Viola di gamba",,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"5 f.",NULL
Cornett,,,"3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
Salicional,,,8',NULL
Traversflöte,,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Viola di gamba",,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,,"5 f.",NULL
Cornett,,,"3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
Salicional,,,8',NULL
Traversflöte,,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Mixtur,,,"2-4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
"Voix céleste",,,8',NULL
Aeoline,,,8',NULL
Konzertflöte,,,8',NULL
Fugara,,,4',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
Quint,,"Uit Mixtur Man II.","2 2/3'",NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","5 f.",NULL
Cornett,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
"Viola di Gamba",,,8',NULL
Scharf,,,"4 f.",NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Octav,,,2',NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
Tertz,,,"1 3/5'",NULL
Nasard,,,"2 2/3'",NULL
Konzertflöte,,,8',NULL
Sifflöte,,,1',NULL
Traversflöte,,,4',NULL
Flautino,,,2',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Salicional,,"Uit Mixtur Man II.",8',NULL
Octav,,,2',NULL
Mixtur,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","5 f.",NULL
Cornett,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
"Viola di Gamba",,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Octav,,,2',NULL
Scharf,,,"4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
Konzertflöte,,,8',NULL
Traversflöte,,,4',NULL
Nasard,,,"2 2/3'",NULL
Flautino,,,2',NULL
Tertz,,,"1 3/5'",NULL
"Vox angelica",,,8',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
Salicional,,"Uit Mixtur Man II.",8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","5 f.",NULL
Cornett,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
"Viola di Gamba",,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Octav,,,2',NULL
Scharf,,,"4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
Konzertflöte,,,8',NULL
Traversflöte,,,4',NULL
Nasard,,,"2 2/3'",NULL
Flautino,,,2',NULL
Tertz,,,"1 3/5'",NULL
Trompete,,,8',NULL
"Vox angelica",,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
Salicional,,"Uit Mixtur Man II.",8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","5 f.",NULL
Cornett,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
"Viola di Gamba",,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Octav,,,2',NULL
Scharf,,,"4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
Konzertflöte,,,8',NULL
Traversflöte,,,4',NULL
Nasard,,,"2 2/3'",NULL
Flautino,,,2',NULL
Tertz,,,"1 3/5'",NULL
Trompete,,,8',NULL
"Vox angelica",,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Principal,,,16',NULL
Principal,,,8',NULL
Gedact,,,8',NULL
Salicional,,"Uit Mixtur Man II.",8',NULL
"Flûte harmonique",,,8',NULL
Octav,,,4',NULL
Rohrflöte,,,4',NULL
Octav,,,2',NULL
Mixtur,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","5 f.",NULL
Cornett,,"Samenstelling Mixtur en Cornett gewijzigd met gebruikmaking pijpwerk uit Mixtur Man II.","3-5 f.",NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Principal,,,8',NULL
Rohrflöte,,,8',NULL
"Viola di Gamba",,,8',NULL
Octav,,,4',NULL
"Flaut dolce",,,4',NULL
Octav,,,2',NULL
Scharf,,,"4 f.",NULL
Clarinett,,,8',NULL
Quintatön,,,16',NULL
Geigenprincipal,,,8',NULL
"Lieblich gedact",,,8',NULL
Konzertflöte,,,8',NULL
Traversflöte,,,4',NULL
Nasard,,,"2 2/3'",NULL
Flautino,,,2',NULL
Tertz,,,"1 3/5'",NULL
Trompete,,,8',NULL
"Vox angelica",,,8',NULL
Principal,,,16',NULL
Contrabass,,,16',NULL
Subbass,,,16',NULL
Quintbass,,,"10 2/3'",NULL
Offenbass,,,8',NULL
Bassflöte,,,8',NULL
Violoncello,,,8',NULL
Octav,,,4',NULL
Posaune,,,16',NULL
Trompete,,,8',NULL
Bourdon,,,16',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Mixtuur,,,"3-4 st.",NULL
Cornet,,,"4 st.",NULL
Trompet,B/D,,8',NULL
Holpijp,,,8',NULL
Salicionaal,,,8',NULL
"Viola di Gamba",,,8',NULL
Roerfluit,,,4',NULL
Piccolo,,,2',NULL
Dulciaan,,,8',NULL
Bourdon,,,16',NULL
Bourdon,,,16',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Mixtuur,,,"3-4 st.",NULL
Cornet,,,"4 st.",NULL
Trompet,B/D,,8',NULL
Holpijp,,,8',NULL
Salicionaal,,,8',NULL
"Viola di Gamba",,,8',NULL
Roerfluit,,,4',NULL
Piccolo,,,2',NULL
Quintadeen,,,8',NULL
Bourdon,,,16',NULL
Bourdon,,,16',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Mixtuur,,,"3-4 st.",NULL
Cornet,,,"4 st.",NULL
Trompet,B/D,,8',NULL
Holpijp,,,8',NULL
Quintadeen,,,8',NULL
Salicionaal,,,8',NULL
"Viola di Gamba",,,8',NULL
Roerfluit,,,4',NULL
Piccolo,,,2',NULL
Bourdon,,,16',NULL
Subbas,,,16',NULL
Violoncel,,,8',NULL
Fluit,,,4',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Mixtuur,,"Samenstelling Mixtuur gewijzigd.","3-4 st.",NULL
Cornet,,,"4 st.",NULL
Trompet,B/D,,8',NULL
Holpijp,,,8',NULL
Quintadeen,,,8',NULL
Prestant,,,4',NULL
Quint,,,"1 1/3'",NULL
Roerfluit,,,4',NULL
Woudfluit,,,2',NULL
Roerfluit,,,8',NULL
Subbas,,,16',NULL
Violoncel,,,8',NULL
Nachthoorn,,"Uit oude Piccolo.",2',NULL
Schalmei,,,4',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Octaaf,,,4',NULL
Fluit,,,4',NULL
Quint,,,3',NULL
Octaaf,,,2',NULL
Mixtuur,,,"3-4 st.",NULL
Cornet,,,"4 st.",NULL
Trompet,B/D,,8',NULL
Holpijp,,,8',NULL
Quintadeen,,,8',NULL
Prestant,,,4',NULL
Roerfluit,,,4',NULL
Woudfluit,,,2',NULL
Quint,,,"1 1/3'",NULL
Subbas,,transmissie,16',NULL
Violoncel,,,8',NULL
Roerfluit,,,8',NULL
Schalmei,,,4',NULL
Kromhoornregaal,,"Op kantsleep.",8',NULL
Prestant,,"De Prestant 8' staat van C-h in het front (C-cis in de zijtorens, de overige in de tussenvelden).  Expressions zijn aanwezig bij de Prestant 8' (geheel).",8',NULL
Roerfluit,,"C-H van de Roerfluit 8' zijn van hout met doorboorde stoppen, het vervolg is van metaal met uitwendige roeren en boogvormige opsneden. ",8',NULL
Octaaf,,"De Octaaf 4', Quint 3', Octaaf 2' en Cornet zijn geheel origineel. Expressions zijn aanwezig bij de Octaaf 4' (C-c2).",4',NULL
Bourdon,,"Van de Bourdon 16' zijn C-d1 van hout. Deze pijpen staan op een gereconstrueerde transmissielade; het vervolg is van metaal en staat op de HW-lade. ",16',NULL
Quint,,"De Octaaf 4', Quint 3', Octaaf 2' en Cornet zijn geheel origineel.  Expressions zijn aanwezig bij de Quint 3' (C-b1).",3',NULL
Octaaf,,"De Octaaf 4', Quint 3', Octaaf 2' en Cornet zijn geheel origineel. Expressions zijn aanwezig bij de Octaaf 2' (C-fis1). ",2',NULL
Mixtuur,,"Samenstelling Mixtuur gereconstrueerd. Van de Mixtuur is nog een groot deel origineel.  Expressions zijn aanwezig bij een deel van de Mixtuur.","3-4 st.","<table border="0""> <tbody> <tr> <td> <p class=""T4dispositie"">C</p> <p class=""T4dispositie"">2</p> <p class=""T4dispositie"">1 1/3</p> <p> 1</p> <p>&nbsp;</p> </td> <td> <p class=""T4dispositie"">Fis</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> <p> 1 1/3</p> <p>&nbsp;</p> </td> <td> <p class=""T4dispositie"">fis</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">2 2/3</p> <p class=""T4dispositie"">2</p> 1 1/3</td> <td> <p class=""T4dispositie"">fis<span style=""font-size: 8px;"">1</span></p> <p class=""T4dispositie"">5 1/3</p> <p class=""T4dispositie"">4</p> <p class=""T4dispositie"">2 2/3</p> 2</td> </tr> </tbody> </table>""
Cornet,D,"De Octaaf 4', Quint 3', Octaaf 2' en Cornet zijn geheel origineel. Expressions zijn aanwezig bij een deel van de Cornet.","4 st.","<p>c1</p> <p>4</p> <p>2 2/3</p> <p>2</p> <p>1 3/5</p>"
Trompet,B/D,"De Trompet B/D 8' dateert uit 1897 een heeft metalen stevels, loden koppen, messing kelen en tongen en metalen bekers. Een aantal tongen is in 2007 vernieuwd; de kelen voor C-h zijn beleerd.",8',NULL
Holpijp,,"C-H van de Holpijp 8' (NW) zijn van hout, het vervolg is van metaal (gedekt), daarvan dateren cis3-f3 uit 2007. ",8',NULL
Quintadeen,,"De Quintadeen 8' dateert geheel uit 1913 en heeft geperste labia en kastbaarden. ",8',NULL
Salicionaal,,"Van de Salicionaal 8' dateren C-H uit 2007 (hout, gedekt), het vervolg is oud, maar in 1969 afgesneden en in 2007 weer verlengd. Expressions zijn aanwezig bij de Salicionaal 8'.",8',NULL
Roerfluit,,"De Roerfluit 4' dateert geheel uit 2007; C-f1 metaal met uitwendige roeren en boogvormige opsneden, het vervolg open, overblazend. Expressions zijn aanwezig bij de Roerfluit 4' (fis1-f3).",4',NULL
Piccolo,,"Van de Piccolo 2' dateren C-f1 uit 1897, de overige pijpen zijn in 2007 gereconstrueerd.  Expressions zijn aanwezig bij de Piccolo 2' (C-c1).",2',NULL
"Viola di Gamba",,"De Viola di Gamba 8' is van C-H gecombineerd met de Salicionaal; c-h dateren uit 2007, het overige pijpwerk is in 2007 weer verlengd.  Expressions zijn aanwezig bij de Viola di Gamba 8'.",8',NULL
Dulciaan,,"Op kantsleep. De Dulciaan 8' is nieuw, naar voorbeeld van het Steenkuijl-orgel in de Remonstrantse Kerk te Rotterdam.",8',NULL
Bourdon,,"De Bourdon 16' is een transmissie van het HW. ",16',NULL
Violoncel,,"De Holpijp 8' is in 2007 geformeerd uit de Roerfluit 8' uit 1969. Expressions zijn aanwezig bij de Violoncel 8'.",8',NULL
Holpijp,,"De Violoncel 8' dateert uit 2007. ",8',NULL
Fagot,,"De Fagot 16' is in 2007 vervaardigd naar voorbeeld van het orgel in de Remonstrantse Kerk te Rotterdam.",16',NULL
Nachthoorn,,,2',NULL
"Trompa de Batalha",B,"en chamade reeds",8',
"Recímbala 5 v.",B,,V,
Fagote,B,"en chamade reeds",8',
"Címbala 4 v.",B,,IV,
"Clarão 5 v.",B,,V,
"Compostas de 22ª 3 v.",B,,III,
"Flautado de 6 Tap.",B,,4',
"19ª e 22ª ",B,,"1 1/3 + 1'",
"Oitava Real ",B,,4',
"Flautado Violão",B,,8',
Quinzena,B,,2',
"Flautado de 12 Ab.",B,,8',
"Dozena ",B,,"2 2/3",
Campainha,,Bell,,
"Flautado de 24 Ab.",B,,16',
"Clarim de Batalha ",D,"en chamade reeds",8',
Oboé,D,"en chamade reeds",16',
"Recímbala 4 v.",D,,V,
"Címbala 4 v.",D,,IV,
"Clarim d'Eco",D,,8',
"Dozena 2 v.",D,,II,
"Corneta Inglesa 5 v.",D,,V,
"Cheio 5 v. ",D,,IV,
"Flautim 2 v.",D,,4',
"Flauta em 12",D,,8',
"Oitava Real 2 v. ",D,,4',
"Flauta Romana ",D,,8',
"Oitava Real ",D,,4',
"Flautado de 12 Ab.",D,,8',
"Flautado de 24 Ab.",D,,16',
"Trompa de Batalha",B,"en chamade reeds",8',
"Recímbala 5 v.",B,,V,
Fagote,B,"en chamade reeds",8',
"Címbala 4 v.",B,,IV,
"Clarão 5 v.",B,,V,
"Compostas de 22ª 3 v.",B,,III,
"Flautado de 6 Tap.",B,,4',
"19ª e 22ª ",B,,"1 1/3 + 1'",
"Oitava Real ",B,,4',
"Flautado Violão",B,,8',
Quinzena,B,,2',
"Flautado de 12 Ab.",B,,8',
"Dozena ",B,,"2 2/3",
Campainha,,Bell,,
"Flautado de 24 Ab.",B,,16',
"Clarim de Batalha ",D,"en chamade reeds",8',
Oboé,D,"en chamade reeds",16',
"Recímbala 4 v.",D,,V,
"Címbala 4 v.",D,,IV,
"Clarim d'Eco",D,,8',
"Dozena 2 v.",D,,II,
"Corneta Inglesa 5 v.",D,,V,
"Cheio 5 v. ",D,,IV,
"Flautim 2 v.",D,,4',
"Flauta em 12",D,,8',
"Oitava Real 2 v. ",D,,4',
"Flauta Romana ",D,,8',
"Oitava Real ",D,,4',
"Flautado de 12 Ab.",D,,8',
"Flautado de 24 Ab.",D,,16',
Campainha,,,,Bell
"Trompa de Batalha",B,"en chamade reeds",4',
Fagote,B,"en chamade reeds",8',
"Recímbala 4 v.",B,,IV,
"Címbala 4 v.",B,,IV,
"Clarão 5 v.",B,,V,
"Compostas de 19ª 3 v. ",B,,III,
"Oitava Real",B,,4',
Quinzena,B,,2',
"Flautado de 12 Ab.",B,,8',
Dozena,B,,"2 2/3'",
"Flautado de 12 Tap.",B,,8',
"Flautado de 24 Ab.",B,,16',
"Trompa Magna ",D,"en chamade reeds",16',
"Címbala 4 v.",D,,IV,
"Clarim de Batalha",D,"en chamade reeds",8',
"Cheio 4 v.",D,,IV,
"Clarinete ",D,,8',
"Clarãozinho 5 v.",D,,V,
"Corneta Real 6 v.",D,,VI,
"Compostas de 15ª 5 v.",D,,V,
"Flautado de 12 Tap.",D,,8',
"Compostas de 12ª 2 v.",D,,II,
"Flauta Romana",D,,8',
"Oitava Real 2 v.",D,,"4' (II)",
"Flautado de 12 Ab.",D,,8',
"Oitava Real",D,,4',
"Flautado de 24 Ab.",D,,16',
"Trompa de Batalha",B,"en chamade reed",8',NULL
Fagote,B,"en chamade reed",8',NULL
"Recímbala 5 v.",B,,V,NULL
"Címbala 4 v.",B,,IV,NULL
"Clarão 5 v.",B,,V,NULL
"Compostas de 22ª 3 v.",B,,III,NULL
"Flautado de 6 Tap.",B,,4',NULL
"19ª e 22ª",B,,"1 1/3 + 1'",NULL
"Oitava Real",B,,4',NULL
Clarãozinho,B,,NULL,NULL
"Flautado Violão",B,,8',NULL
Quinzena,B,,2',NULL
"Flautado de 12 Ab.",B,,8',NULL
Dozena,B,,"2 2/3'",NULL
"Flautado de 24 Ab.",B,,16',NULL
Campainha,,,NULL,NULL
"Clarim de Batalha",D,"en chamade reeds",8',NULL
"Recímbala 4 v.",D,,V,NULL
Oboé,D,"en chamade reeds",16',NULL
"Címbala 4 v.",D,,IV,NULL
"Clarim d'Eco",D,,8',NULL
"Dozena 2 v.",D,,II,NULL
"Corneta Inglesa 5 v.",D,,V,NULL
"Cheio 4 v.",D,,IV,NULL
"Flautim 2 v.",D,,"4' (II)",NULL
"Cheio 5 v.",D,,V,NULL
"Flauta em 12",D,,8',NULL
"Oitava Real 2 v.",D,,"4' (II)",NULL
"Flauta Romana",D,,8',NULL
"Oitava Real",D,,4',NULL
"Flautado de 12 Ab.",D,,8',NULL
"Flautado de 24 Ab.",D,,16',NULL
Prestant,,,16',NULL
Bourdon,,,16',NULL
Prestant,,,8',NULL
Bourdon,,,8',NULL
Violoncel,,,8',NULL
"Flûte harmonique",,,8',NULL
Prestant,,,4',NULL
"Flûte octaviante",,Combinatiestem.,4',NULL
"Quint harmonique",,Combinatiestem.,3',NULL
"Octaaf harmonique",,Combinatiestem.,2',NULL
Cornet,,"Combinatiestem. Discant nieuw.","1-5 st.",NULL
Mixtuur,,Combinatiestem.,"3-6 st.",<br>
Trompet,,Combinatiestem.,4',NULL
Trompet,,Combinatiestem.,8',NULL
"Zacht gedekt",,,16',NULL
Prestant,,,8',NULL
Roerfluit,,,8',NULL
Salicionaal,,,8',NULL
Unda-Maris,,,8',NULL
Fluit-dolce,,,4',NULL
Viool,,Combinatiestem.,4',NULL
Mixtuur,,Combinatiestem.,"2-5 st.",NULL
"Trompet harmonique",,Combinatiestem.,8',NULL
Klarinet,,Combinatiestem.,8',NULL
Quintadeen,,,16',NULL
Holpijp,,,8',NULL
"Viola di Gamba",,,8',NULL
"Voix Céleste",,,8',NULL
"Flûte harmonique",,,8',NULL
"Flûte octaviante",,,4',NULL
"Flageolet harm.",,Combinatiestem.,2',NULL
"Piccolo harmonique",,Combinatiestem.,1',NULL
"Sexquialter harmonique",,Combinatiestem.,"2 st.",NULL
"Basson Hobo",,Combinatiestem.,8',NULL
"Vox humana",,,8',NULL
"Trompet harm.",,combinatiestem,4',NULL
"Gedekt Subbas",,,32',NULL
"Open Bas",,,16',NULL
"Gedekt Subbas",,,16',NULL
Violon,,,16',NULL
Quintbas,,,"10 2/3'",NULL
Fluit,,,8',NULL
Violoncel,,,8',NULL
"Corni dolce",,,4',NULL
